message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
"Two backflips just wasn't enough for Bobby Brown, he had to get the third one in. #IWILL",https://www.facebook.com/Underarmour/videos/10154690050926287/,https://www.facebook.com/Underarmour/videos/10154690050926287/,2016-12-15T01:00:00+0000,video,Bobby Brown Triple Backflip - Be Water,8741241286_10154690050926287,21,469,NONE,442,FALSE,FALSE,ranked,13,FALSE,"https://graph.facebook.com/v2.8/8741241286/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&since=1481763600&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__paging_token=enc_AdAQZBElU9c6BYWY7W6mg7MuKBJXr7uhzCSWoxnCwZA3rKajbIOct1kxUWlKPa2o5OhfBv088JuKAeduRMDfyF0lTy&__previous=1","https://graph.facebook.com/v2.8/8741241286/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1471730426&__paging_token=enc_AdC1BZBWlZCvlrkIiPe7YT6qdmKTptaNNdcZAPRYZCPZCJikuvKkGfrgjOFY9qAvQ0Bqk2IBJtHbWj8YkCbp5ZBoM6ZAIUh"
"18-months ago it was just an idea. Tonight 9/8c on Spiketv â€” it becomes reality. Join Dwayne The Rock Johnson and 45,000+ of our closest military friends and family for the biggest event of itâ€™s kind on American soil.   Canâ€™t make it to Pearl Harbor? You can still dress the part with an official Rock the Troops T-Shirt. #RockTheTroops #UAFreedom #Respect  Rock The Troops: undrarmr.co/2hgppFW",https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154686783166287/?type=3,https://www.facebook.com/Underarmour/posts/10154686783166287:0,2016-12-13T23:43:03+0000,photo,Timeline Photos,8741241286_10154686783166287,34,1148,NONE,1087,FALSE,FALSE,ranked,23,FALSE,,
Four teams. One family.  The stage is set for the inaugural tip-off of Under Armour Basketball's #UAReunion. #RepTheFamilFS1Tune into FS1 @ 6:30.,https://www.facebook.com/Underarmour/videos/10154681856386287/,https://www.facebook.com/Underarmour/videos/10154681856386287/,2016-12-12T23:24:21+0000,video,,8741241286_10154681856386287,19,440,NONE,414,FALSE,FALSE,ranked,14,FALSE,,
,https://www.facebook.com/anthonyjoshuaboxer/videos/736827866473106/,https://www.facebook.com/Underarmour/posts/10154663428996287,2016-12-08T18:32:49+0000,video,Anthony Joshua,8741241286_10154663428996287,,206,NONE,200,FALSE,FALSE,ranked,12,FALSE,,
We brought some _Ÿ”¥ to Winter Meetings last night. #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154654748436287/?type=3,https://www.facebook.com/Underarmour/posts/10154654748436287:0,2016-12-06T22:10:25+0000,photo,Timeline Photos,8741241286_10154654748436287,62,1594,NONE,1516,FALSE,FALSE,ranked,28,FALSE,,
#TeamUA was out in full force last night. #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154654112811287/?type=3,https://www.facebook.com/Underarmour/posts/10154654112811287:0,2016-12-06T17:51:58+0000,photo,Timeline Photos,8741241286_10154654112811287,11,423,NONE,411,FALSE,FALSE,ranked,10,FALSE,,
Coming Soon to a Stadium Near You: Under Armour will be the Official On-Field Uniform Supplier of Major League Baseball. #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154651662601287/?type=3,https://www.facebook.com/Underarmour/posts/10154651662601287:0,2016-12-05T20:17:38+0000,photo,Timeline Photos,8741241286_10154651662601287,203,2504,NONE,2355,FALSE,FALSE,ranked,57,FALSE,,
Done deal! Under Armour will be the Official On-Field Uniform Supplier of Major League Baseball. #IWILL  http://undrarmr.co/1Sdv6PO,https://www.facebook.com/Underarmour/videos/10154650682161287/,https://www.facebook.com/Underarmour/videos/10154650682161287/,2016-12-05T14:01:50+0000,video,,8741241286_10154650682161287,791,4241,NONE,3919,FALSE,FALSE,ranked,199,FALSE,,
No QB has more wins than the _Ÿêê. #ProtectThisHouse,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154648930176287/?type=3,https://www.facebook.com/Underarmour/posts/10154648930176287:0,2016-12-04T21:21:02+0000,photo,Timeline Photos,8741241286_10154648930176287,67,926,NONE,874,FALSE,FALSE,ranked,47,FALSE,,
"The first one in and the last one out.  Together, we vow with Dwayne The Rock Johnson to make everyone with the will and the drive to fight for something â€“ better by pushing them to achieve more, day-in and day-out. #HumbleHungry   Grab the Rockâ€™s new collection now: undrarmr.co/2h1PTHQ",https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154647695631287/?type=3,https://www.facebook.com/Underarmour/posts/10154647695631287:0,2016-12-04T16:21:29+0000,photo,Timeline Photos,8741241286_10154647695631287,119,3016,NONE,2907,FALSE,FALSE,ranked,67,FALSE,,
"Cyber Monday Starts & Ends Here: Limited Time 25% Off Select Hoodies. Plus, enjoy free shipping on all orders. http://undrarmr.co/2gAx7qH",https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154633058046287/?type=3,https://www.facebook.com/Underarmour/posts/10154633058046287:0,2016-11-28T23:17:47+0000,photo,Timeline Photos,8741241286_10154633058046287,48,1303,NONE,1238,FALSE,FALSE,ranked,31,FALSE,,
"For everything you do to get better, track everything that matters.  The UA Band: undrarmr.co/TheUABand",https://www.facebook.com/Underarmour/videos/10154632649806287/,https://www.facebook.com/Underarmour/videos/10154632649806287/,2016-11-28T20:01:46+0000,video,,8741241286_10154632649806287,36,586,NONE,565,FALSE,FALSE,ranked,21,FALSE,,
Black Friday is on. Limited Time 25% Off Select UA Gear.,http://undrarmr.co/2fvVwwJ,https://www.facebook.com/Underarmour/posts/10154623553926287,2016-11-25T15:09:27+0000,link,"Under Armour | 2016 Offers, Promos & Coupon Codes",8741241286_10154623553926287,27,409,NONE,394,FALSE,FALSE,ranked,18,FALSE,,
,https://www.facebook.com/uabasketball/photos/a.276454495735964.61108.240581242656623/1134362433278495/?type=3,https://www.facebook.com/Underarmour/posts/10154623459521287,2016-11-25T14:11:05+0000,photo,Under Armour Basketball,8741241286_10154623459521287,,1066,NONE,1011,FALSE,FALSE,ranked,17,FALSE,,
"And a _Ÿ_ƒ for you, and you, and you. â € This is what family looks like. Thank you for all you do. #MannequinChallenge #HappyThanksgiving â € A special shoutout to Ray Lewis for helping us bring a little love to the fam.",https://www.facebook.com/Underarmour/videos/10154617473106287/,https://www.facebook.com/Underarmour/videos/10154617473106287/,2016-11-23T16:10:47+0000,video,,8741241286_10154617473106287,61,672,NONE,647,FALSE,FALSE,ranked,16,FALSE,,
Andy Murray: World #1.  #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154612450601287/?type=3,https://www.facebook.com/Underarmour/posts/10154612450601287:0,2016-11-21T22:20:05+0000,photo,Timeline Photos,8741241286_10154612450601287,30,499,NONE,478,FALSE,FALSE,ranked,10,FALSE,,
On top of the world. And here to stay. #1. #IWILL,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154608552006287/?type=3,https://www.facebook.com/Underarmour/posts/10154608552006287:0,2016-11-20T20:08:13+0000,photo,Timeline Photos,8741241286_10154608552006287,60,679,NONE,651,FALSE,FALSE,ranked,14,FALSE,,
,https://www.facebook.com/nytimes/videos/10150971583379999/,https://www.facebook.com/Underarmour/posts/10154592605111287,2016-11-16T16:16:06+0000,video,The New York Times,8741241286_10154592605111287,,380,NONE,353,FALSE,FALSE,ranked,8,FALSE,,
THANK YOU to those who served and continue to serve to PROTECT THIS HOUSE. #VeteransDay #UAFreedom,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154576434671287/?type=3,https://www.facebook.com/Underarmour/posts/10154576434671287:0,2016-11-11T23:33:08+0000,photo,Timeline Photos,8741241286_10154576434671287,71,1207,NONE,1162,FALSE,FALSE,ranked,6,FALSE,,
Jordan Spieth takes the #MYFW challenge during his visit to HQ and tees up a big shot in the new Curry 3 'Grey Matterâ€™.  The #Curry3 'Grey Matter' drops tomorrow.,https://www.facebook.com/Underarmour/videos/10154574518521287/,https://www.facebook.com/Underarmour/videos/10154574518521287/,2016-11-11T19:00:00+0000,video,Curry 3 | Jordan Spieth Golf Shot,8741241286_10154574518521287,55,329,NONE,317,FALSE,FALSE,ranked,3,FALSE,,
"13 is the new 12.  Now, Make That Old.  The #Curry3 #DubNation â€˜Heritageâ€™.  Available now: undrarmr.co/2eEeEZg",https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154569881141287/?type=3,https://www.facebook.com/Underarmour/posts/10154569881141287:0,2016-11-10T03:31:40+0000,photo,Timeline Photos,8741241286_10154569881141287,64,1184,NONE,1124,FALSE,FALSE,ranked,14,FALSE,,
To be a part of The Fighting Irish is an honor. To honor those who fightÂ_ is even greater. #ShamrockSeries #ProtectThisHouse,https://www.facebook.com/Underarmour/videos/10154568864086287/,https://www.facebook.com/Underarmour/videos/10154568864086287/,2016-11-09T19:59:33+0000,video,,8741241286_10154568864086287,208,898,NONE,848,FALSE,FALSE,ranked,38,FALSE,,
"""To me our flag stands for strength, self betterment and an unbreakable spirit.  I stand for it, salute it, respect it and protect it."" -Dwayne ""The Rockâ€ù Johnson  Under Armour Freedom x Dwayne The Rock Johnson share a powerful belief:  we MUST do our part in supporting the brave men and women who protect our freedom.  That's why the #RockTheTroops Collection exists. It's one simple way to give back to those who have given so much. Like our motto says, FIRST AND FOREMOST, WE ARE PATRIOTS.  If you want to be part of this movement, join us: undrarmr.co/RockTheTroops",https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154566144231287/?type=3,https://www.facebook.com/Underarmour/posts/10154566144231287:0,2016-11-08T23:49:39+0000,photo,Timeline Photos,8741241286_10154566144231287,116,1881,NONE,1777,FALSE,FALSE,ranked,21,FALSE,,
,https://www.facebook.com/uabasketball/photos/a.276454495735964.61108.240581242656623/1118913504823388/?type=3,https://www.facebook.com/Underarmour/posts/10154564017571287,2016-11-08T06:01:16+0000,photo,Under Armour Basketball,8741241286_10154564017571287,,671,NONE,638,FALSE,FALSE,ranked,8,FALSE,,
,https://www.facebook.com/uabasketball/photos/a.276454495735964.61108.240581242656623/1118535341527871/?type=3,https://www.facebook.com/Underarmour/posts/10154562606116287,2016-11-07T17:57:30+0000,photo,Under Armour Basketball,8741241286_10154562606116287,,676,NONE,644,FALSE,FALSE,ranked,12,FALSE,,
,https://www.facebook.com/Underarmour/photos/a.10150734632601287.459672.8741241286/10154520044011287/?type=3,https://www.facebook.com/Underarmour/posts/10154562059331287,2016-11-07T13:58:37+0000,photo,Under Armour's cover photo,8741241286_10154520044011287,36,1229,NONE,1177,FALSE,FALSE,ranked,9,FALSE,,
Inspire those who inspire you. #IWILL  Michael Phelps visits our 2nd largest Brand House in the world on Huaihai Road in Shanghai.,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154557228281287/?type=3,https://www.facebook.com/Underarmour/posts/10154557228281287:0,2016-11-05T22:05:04+0000,photo,Timeline Photos,8741241286_10154557228281287,40,1164,NONE,1122,FALSE,FALSE,ranked,4,FALSE,,
#Repost  We chase our greatness and get after it.. with PRIDE. #Blood #Respect #IWILL _Ÿ‡º_Ÿ‡¸_Ÿ’ª_Ÿè_  We are PROUD to partner with Dwayne The Rock Johnson in HONORING those that have sacrificed so much for our Freedom.   Introducing the #RockTheTroops Collection.  undrarmr.co/2fN4avw,https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154556319421287/?type=3,https://www.facebook.com/Underarmour/posts/10154556319421287:0,2016-11-05T16:19:16+0000,photo,Timeline Photos,8741241286_10154556319421287,58,1079,NONE,1041,FALSE,FALSE,ranked,37,FALSE,,
"Unstoppable from Rome to Shanghai. Congratulations to World No. 1, Andy Murray. #IWILL",https://www.facebook.com/Underarmour/photos/a.92677861286.118893.8741241286/10154556109786287/?type=3,https://www.facebook.com/Underarmour/posts/10154556109786287:0,2016-11-05T15:13:36+0000,photo,Timeline Photos,8741241286_10154556109786287,52,514,NONE,504,FALSE,FALSE,ranked,9,FALSE,,
