message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
Lightning strikes. #ForeverFastest,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154475357933216/?type=3,https://www.facebook.com/PUMA/posts/10154475357933216:0,2016-08-19T01:39:04+0000,photo,Timeline Photos,56470448215_10154475357933216,50,1424,NONE,1379,FALSE,FALSE,ranked,10,FALSE,"https://graph.facebook.com/v2.8/56470448215/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdBz5HiDW2TctZBZCQiG9eUsZCYflzZB2D001c9L2x1taid5LHsa8dOPs8R5ycDZC73r8p98dIqgp6uzZAZBh8gNa4ZAkq4i&since=1471570744&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__previous=1","https://graph.facebook.com/v2.8/56470448215/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdCx7ipZBzmCuaJFPyFvTZCGWPleMWTYfBMpMsNmWQDZAigeNwYVtlpLia508nZBaQVrcXHyS3JlIqEdRZBW6VsH485rG&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1457897766"
"""When I get to the stadium it's all about just being relaxed. I try to talk to everybody. Coaches, masseuses, everybody, just have a conversation, just keep my mind off the race."" Unthink everything. And get it done. Usain Bolt #ForeverFastest",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154475138293216/?type=3,https://www.facebook.com/PUMA/posts/10154475138293216:0,2016-08-18T23:30:06+0000,photo,Timeline Photos,56470448215_10154475138293216,16,881,NONE,859,FALSE,FALSE,ranked,7,FALSE,,
New season calls for new evoSPEED. It is time to #PlayLOUD.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154470396173216/?type=3,https://www.facebook.com/PUMA/posts/10154470396173216:0,2016-08-17T12:01:04+0000,photo,Timeline Photos,56470448215_10154470396173216,7,424,NONE,416,FALSE,FALSE,ranked,10,FALSE,,
Roll through the streets with old school swagger. The #Suede worn by Young Thug. Get your pair at PUMA.com.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154467889073216/?type=3,https://www.facebook.com/PUMA/posts/10154467889073216:0,2016-08-16T15:30:07+0000,photo,Timeline Photos,56470448215_10154467889073216,34,768,NONE,733,FALSE,FALSE,ranked,30,FALSE,,
An extra fast design engineered for the man who makes a living from being extra fast. Introducing the Bolt evoSPEED Spike: PUMA.com/Running,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154464460158216/?type=3,https://www.facebook.com/PUMA/posts/10154464460158216:0,2016-08-15T13:02:05+0000,photo,Timeline Photos,56470448215_10154464460158216,28,942,NONE,913,FALSE,FALSE,ranked,13,FALSE,,
"When you are Usain Bolt, you are #ForeverFastest.",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154463202328216/?type=3,https://www.facebook.com/PUMA/posts/10154463202328216:0,2016-08-15T01:28:04+0000,photo,Timeline Photos,56470448215_10154463202328216,82,2103,NONE,2036,FALSE,FALSE,ranked,19,FALSE,,
Usain Bolt is always ready. Are you? #ForeverFaster,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154462806448216/?type=3,https://www.facebook.com/PUMA/posts/10154462806448216:0,2016-08-14T22:45:06+0000,photo,Timeline Photos,56470448215_10154462806448216,14,647,NONE,626,FALSE,FALSE,ranked,2,FALSE,,
Every day is a new opportunity to improve. Don't forget to finish strong. #ForeverFaster,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154449316488216/?type=3,https://www.facebook.com/PUMA/posts/10154449316488216:0,2016-08-10T13:30:05+0000,photo,Timeline Photos,56470448215_10154449316488216,7,373,NONE,363,FALSE,FALSE,ranked,2,FALSE,,
evoTOUCH. Engineered for natural touch. Designed to rule the pitch. #ChooseTouch,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154443228513216/?type=3,https://www.facebook.com/PUMA/posts/10154443228513216:0,2016-08-08T11:26:04+0000,photo,Timeline Photos,56470448215_10154443228513216,18,472,NONE,463,FALSE,FALSE,ranked,2,FALSE,,
Sliding back into stock with a new colorway. The Fur Slide designed by Rihanna is back. Take your pick at PUMA.com/Rihanna. #FENTYxPUMA,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154434521118216/?type=3,https://www.facebook.com/PUMA/posts/10154434521118216:0,2016-08-05T14:00:07+0000,photo,Timeline Photos,56470448215_10154434521118216,1429,2830,NONE,2523,FALSE,FALSE,ranked,256,FALSE,,
It is time to reinvent classic. Pick a #Suede shade today and get out there. PUMA.com,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154431772743216/?type=3,https://www.facebook.com/PUMA/posts/10154431772743216:0,2016-08-04T15:29:05+0000,photo,Timeline Photos,56470448215_10154431772743216,243,2916,NONE,2721,FALSE,FALSE,ranked,93,FALSE,,
Attack fast. Score even faster with Sergio Aguero and Marco Reus. See more evoSPEED on PUMA Football.,https://www.facebook.com/PUMA/videos/10154428520433216/,https://www.facebook.com/PUMA/videos/10154428520433216/,2016-08-03T11:55:37+0000,video,,56470448215_10154428520433216,32,488,NONE,475,FALSE,FALSE,ranked,2,FALSE,,
Steal the spotlight in Fierce. #ForeverFierce,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154426042258216/?type=3,https://www.facebook.com/PUMA/posts/10154426042258216:0,2016-08-02T15:09:05+0000,photo,Timeline Photos,56470448215_10154426042258216,101,816,NONE,764,FALSE,FALSE,ranked,27,FALSE,,
Others blend in. You were born to be extraordinary.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154423004408216/?type=3,https://www.facebook.com/PUMA/posts/10154423004408216:0,2016-08-01T14:56:04+0000,photo,Timeline Photos,56470448215_10154423004408216,113,1956,NONE,1865,FALSE,FALSE,ranked,16,FALSE,,
"""You can NEVER try as hard as me."" - Javon Francis #ForeverFaster",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154419794958216/?type=3,https://www.facebook.com/PUMA/posts/10154419794958216:0,2016-07-31T13:30:06+0000,photo,Timeline Photos,56470448215_10154419794958216,12,424,NONE,411,FALSE,FALSE,ranked,4,FALSE,,
Add some shimmer to your step with Fierce Gold on PUMA.com/Training. #ForeverFierce,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154417238548216/?type=3,https://www.facebook.com/PUMA/posts/10154417238548216:0,2016-07-30T15:32:04+0000,photo,Timeline Photos,56470448215_10154417238548216,130,1596,NONE,1465,FALSE,FALSE,ranked,39,FALSE,,
The 2016/17 Arsenal kits have arrived. We are THE Arsenal. Get ready for the season at PUMA.com/Arsenal. #ForeverArsenal,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154416446988216/?type=3,https://www.facebook.com/PUMA/posts/10154416446988216:0,2016-07-30T09:00:07+0000,photo,Timeline Photos,56470448215_10154416446988216,22,470,NONE,458,FALSE,FALSE,ranked,10,FALSE,,
Standout attitude. Check out the Creeper Camo from #FENTYxPUMA now at PUMA.com/Rihanna.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154411110103216/?type=3,https://www.facebook.com/PUMA/posts/10154411110103216:0,2016-07-28T14:00:07+0000,photo,Timeline Photos,56470448215_10154411110103216,512,1394,NONE,1221,FALSE,FALSE,ranked,58,FALSE,,
Feel the difference. #ChooseTouch on match day with evoTOUCH.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154408120923216/?type=3,https://www.facebook.com/PUMA/posts/10154408120923216:0,2016-07-27T12:26:04+0000,photo,Timeline Photos,56470448215_10154408120923216,9,336,NONE,328,FALSE,FALSE,ranked,0,FALSE,,
"Young, fun, and faster than fast. We tracked down Jamaican sprinter Javon Francis - catch his story on PUMA Running and PUMA Training.",https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154399486483216/?type=3,https://www.facebook.com/PUMA/posts/10154399486483216:0,2016-07-24T13:54:05+0000,photo,Timeline Photos,56470448215_10154399486483216,10,369,NONE,360,FALSE,FALSE,ranked,5,FALSE,,
Smooth style since 1968. Ready for the streets today. Rae Sremmurd rocking the PUMA Suede.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154396656703216/?type=3,https://www.facebook.com/PUMA/posts/10154396656703216:0,2016-07-23T14:14:06+0000,photo,Timeline Photos,56470448215_10154396656703216,27,528,NONE,511,FALSE,FALSE,ranked,4,FALSE,,
Run fast. Message faster. Download the Boltmoji keyboard to chat at record speed. http://bit.ly/BoltmojiKB #ForeverFaster,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154391192948216/?type=3,https://www.facebook.com/PUMA/posts/10154391192948216:0,2016-07-21T16:00:04+0000,photo,Timeline Photos,56470448215_10154391192948216,13,298,NONE,279,FALSE,FALSE,ranked,4,FALSE,,
Who faster? Introducing the Jamaican Federation Kit. Designed to lead the pack then take those victory laps. #ForeverFaster,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154385949938216/?type=3,https://www.facebook.com/PUMA/posts/10154385949938216:0,2016-07-19T19:10:53+0000,photo,Timeline Photos,56470448215_10154385949938216,42,438,NONE,421,FALSE,FALSE,ranked,11,FALSE,,
The new gold standard of training. Amplify your workout with Fierce Gold. #ForeverFierce PUMA.com/Training,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154385470678216/?type=3,https://www.facebook.com/PUMA/posts/10154385470678216:0,2016-07-19T15:38:05+0000,photo,Timeline Photos,56470448215_10154385470678216,100,994,NONE,912,FALSE,FALSE,ranked,23,FALSE,,
Lighter. Faster. Louder. Feel the difference with evoTOUCH. #ChooseTouch,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154381573933216/?type=3,https://www.facebook.com/PUMA/posts/10154381573933216:0,2016-07-18T13:05:04+0000,photo,Timeline Photos,56470448215_10154381573933216,18,368,NONE,353,FALSE,FALSE,ranked,5,FALSE,,
Balance even for the fastest breakaways. IGNITE Dual packs flexibility with energy return for the runners who don't hold back. Take Usain Bolt for example. Available at PUMA.com/Running.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154372809503216/?type=3,https://www.facebook.com/PUMA/posts/10154372809503216:0,2016-07-15T12:36:04+0000,photo,Timeline Photos,56470448215_10154372809503216,19,305,NONE,293,FALSE,FALSE,ranked,10,FALSE,,
,https://www.facebook.com/PUMA/photos/a.10150651774633216.418760.56470448215/10154370798673216/?type=3,https://www.facebook.com/PUMA/posts/10154370798873216,2016-07-14T19:32:17+0000,photo,PUMA's cover photo,56470448215_10154370798673216,24,503,NONE,483,FALSE,FALSE,ranked,11,FALSE,,
Always smooth. Never shy. Reinvent swagger with Yes Julz and #Suede. PUMA.com,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154370006963216/?type=3,https://www.facebook.com/PUMA/posts/10154370006963216:0,2016-07-14T14:33:05+0000,photo,Timeline Photos,56470448215_10154370006963216,41,507,NONE,482,FALSE,FALSE,ranked,4,FALSE,,
Faster flexibility. Higher energy return. Introducing the IGNITE Dual. Paired to perfection at PUMA.com/Running.,https://www.facebook.com/PUMA/videos/10154364057543216/,https://www.facebook.com/PUMA/videos/10154364057543216/,2016-07-12T14:02:31+0000,video,,56470448215_10154364057543216,62,206,NONE,193,FALSE,FALSE,ranked,4,FALSE,,
Touch just changed forever. Introducing evoTOUCH. The latest football technology meets our newest edition. Experience it on PUMA Football. #ChooseTouch,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154361105348216/?type=3,https://www.facebook.com/PUMA/posts/10154361105348216:0,2016-07-11T13:11:04+0000,photo,Timeline Photos,56470448215_10154361105348216,33,256,NONE,241,FALSE,FALSE,ranked,8,FALSE,,
Still got it. The Suede is the court classic that always keeps it fresh. PUMA.com,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154358514203216/?type=3,https://www.facebook.com/PUMA/posts/10154358514203216:0,2016-07-10T14:28:04+0000,photo,Timeline Photos,56470448215_10154358514203216,119,1640,NONE,1536,FALSE,FALSE,ranked,20,FALSE,,
We spent a day with 10 of Cuba's most highly trained athletes in the National Training Center as they prepare for the world stage. See their story on PUMA Training.,https://www.facebook.com/PUMA/photos/a.284283718215.146847.56470448215/10154355791243216/?type=3,https://www.facebook.com/PUMA/posts/10154355791243216:0,2016-07-09T13:27:05+0000,photo,Timeline Photos,56470448215_10154355791243216,15,397,NONE,387,FALSE,FALSE,ranked,5,FALSE,,
