message,link,permalink_url,created_time,type,name,id,share/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,,
Inspired by the big game. Made for everyday. LunarTerra Arktos combines ultimate cushioning with all-weather protection. Available 1.19 at http://nike.com/sportswear.  Explore the Super Bowl inspired LunarTerra Arktos: http://swoo.sh/JKT85Z,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152128392094114/?type=3,https://www.facebook.com/nikesportswear/posts/10152128392394114:0,2014-01-13T21:42:34+0000,photo,Timeline Photos,20825389113_10152128392094114,111,1291,NONE,1291,FALSE,FALSE,chronological,20,FALSE,"https://graph.facebook.com/v2.8/20825389113/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdAX8KJVJLiku7eXhZCBXjecy5efmRXsvx21zsSqMovVq3e0fINisls7iG6QVhWnSjMhZBe1JZA5qUXbX3Sr6rzGeFL&since=1389649354&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__previous=1","https://graph.facebook.com/v2.8/20825389113/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&__paging_token=enc_AdA8pwdf1ZBduo10tVPSiHNY87DFRsOX0ZANZC3RbUKZBquv4idto895QSW5MspZAMob734XUxe30nl3LIORaVR6kgTdO&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1371140908"
When in doubt: Stand out. The women's Party Pack will be dropping January 20th at http://nike.com/sportswear.  Explore the women's Party Pack: http://swoo.sh/1ae4LvN,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152125535924114/?type=3,https://www.facebook.com/nikesportswear/posts/10152125536029114:0,2014-01-12T20:01:31+0000,photo,Timeline Photos,20825389113_10152125535924114,61,1202,NONE,1202,FALSE,FALSE,chronological,9,FALSE,,
Timeless craft meets superior innovation. Air Max 90 Jacquard pairs iconic design lines with a Nike Air unit embedded in a Phylon midsole.     Now available in select colors at http://nike.com/sportswear.,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152121218829114/?type=3,https://www.facebook.com/nikesportswear/posts/10152121298469114:0,2014-01-10T18:17:24+0000,photo,Timeline Photos,20825389113_10152121218829114,29,515,NONE,515,FALSE,FALSE,chronological,8,FALSE,,
Timeless craft meets superior innovation. Air Max 90 Jacquard pairs iconic design lines with a Nike Air unit embedded in a Phylon midsole.     Now available in select colors at http://nike.com/sportswear.,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152121207214114/?type=3,https://www.facebook.com/nikesportswear/posts/10152121213339114:0,2014-01-10T18:11:34+0000,photo,Timeline Photos,20825389113_10152121207214114,18,321,NONE,321,FALSE,FALSE,chronological,6,FALSE,,
The ultimate winter boot. Inspired by the ultimate game. The Super Bowl edition of Nike LunarTerra Arktos available 1.19 at http://nike.com/sportswear.  More information on the Super Bowl inspired LunarTerra Arktos: http://swoo.sh/JKT85Z  Explore the 2014 Silver Speed Collection: http://swoo.sh/1cSngCC,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152118836164114/?type=3,https://www.facebook.com/nikesportswear/posts/10152118836274114:0,2014-01-09T18:59:04+0000,photo,Timeline Photos,20825389113_10152118836164114,83,1283,NONE,1282,FALSE,FALSE,chronological,25,FALSE,,
It's a new year. Get a fresh start in the latest batch of Tech Fleece for men and women. Now available in new styles and colors at http://nike.com/sportswear.  Shop men's Tech Fleece: http://swoo.sh/1gyYnRt Shop women's Tech Fleece: http://swoo.sh/19UXocz,https://www.facebook.com/nikesportswear/photos/a.10152107329869114.1073741913.20825389113/10152107336364114/?type=3,https://www.facebook.com/nikesportswear/posts/10152107428534114,2014-01-04T17:57:34+0000,photo,New year. New #techpack.,20825389113_10152107336364114,18,82,NONE,82,FALSE,FALSE,chronological,3,FALSE,,
"2014 marks the year of Air Max. A celebration through innovation. Using the iconic Nike Air Max 90 silhouette as a canvas, each design harnesses the latest Nike technologies for game-changing results. A story rewritten. A legend reinvented. This is Air Superiority.  Introducing three of the most innovative iterations of the Air Max 90 thus far â€” the Air Max Lunar90, Air Max 90 Jacquard and Air Max 90 Ice.   Air Max Lunar90 and Air Max 90 Jacquard are now available in select colors at http://nike.com/sportswear. Air Max 90 Ice coming soon.",https://www.facebook.com/nikesportswear/photos/a.10152104818109114.1073741912.20825389113/10152104821919114/?type=3,https://www.facebook.com/nikesportswear/posts/10152104982224114,2014-01-03T17:12:14+0000,photo,This is Air Superiority,20825389113_10152104821919114,121,157,NONE,157,FALSE,FALSE,ranked,0,FALSE,,
"History only repeats itself if you allow it to. This is the future of #airmax. This is Air Superiority.  Air Max Lunar90 and Air Max 90 Jacquard hit http://nike.com/sportswear tomorrow, January 3rd.  Air Max 90 Ice coming soon.",https://www.facebook.com/nikesportswear/videos/10152102600944114/,https://www.facebook.com/nikesportswear/videos/10152102600944114/,2014-01-02T17:34:25+0000,video,Air Superiority: The Next Chapter in Air Max History,20825389113_10152102600944114,132,547,NONE,547,FALSE,FALSE,chronological,15,FALSE,,
Classic Nike silhouettes meet psychedelic London styling in the latest Nike x Liberty Collection. All four styles available now: http://swoo.sh/1cFoIOH  Get the story behind the Nike x Liberty collaboration: http://swoo.sh/1cWvSsO,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152088756834114/?type=3,https://www.facebook.com/nikesportswear/posts/10152088756964114:0,2013-12-27T18:01:36+0000,photo,Timeline Photos,20825389113_10152088756834114,121,2039,NONE,2038,FALSE,FALSE,chronological,48,FALSE,,
'Twas the night before Christmas when all through the house. Not a creature was stirring. Not even a Foam: http://swoo.sh/1c5y3ZS     Presenting the Oregon-inspired Nike Foamposite One. Available December 30th at http://nike.com/sportswear.,https://www.facebook.com/nikesportswear/photos/a.170422069113.120009.20825389113/10152082872679114/?type=3,https://www.facebook.com/nikesportswear/posts/10152082882974114:0,2013-12-25T00:10:33+0000,photo,Timeline Photos,20825389113_10152082872679114,98,1286,NONE,1286,FALSE,FALSE,chronological,21,FALSE,,
