"data__message","data__link","data__permalink_url","data__created_time","data__type","data__name","data__id","data__shares__count","data__reactions__summary__total_count","data__reactions__summary__viewer_reaction","data__likes__summary__total_count","data__likes__summary__can_like","data__likes__summary__has_liked","data__comments__summary__order","data__comments__summary__total_count","data__comments__summary__can_comment","paging__previous","paging__next"
"Whatever the city, #FindFocus and block out distractions.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1317395738283342/?type=3","https://www.facebook.com/adidas/posts/1317395738283342:0","2016-12-15T07:00:04+0000","photo","Timeline Photos","182162001806727_1317395738283342","9","1449","NONE","1408","False","False","ranked","12","False","https://graph.facebook.com/v2.8/182162001806727/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&since=1481785204&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&__paging_token=enc_AdDnNeZCctXBJW0Aj6odttCXUFDM2ZBUg2BaxtPLwz46JoZB2t26d0h3mYpcayOEZBs0UgFMy1PpEHM2ySw2vxxh2q4CYPZApHgJJ4hUG3isZCypAn3wZDZD&__previous=1","https://graph.facebook.com/v2.8/182162001806727/posts?fields=message,link,permalink_url,created_time,type,name,id,comments.limit%280%29.summary%28true%29,shares,likes.limit%280%29.summary%28true%29,reactions.limit%280%29.summary%28true%29&limit=100&access_token=1053491811442987|4bcc96fbefc5947e12b737decab00f44&until=1470496520&__paging_token=enc_AdCGCQN5CZBnyazBJQCTaKZAauj10FZCblddYahZATpqgh5vBlZBBr2ZCfuNUz8askh9ZC46Iq4UKb0j3dHgfWmbeotr6ziAI46ssqZB1jMnzhJHtpDQVAZDZD"
"At home or on the road, #FindFocus and find success. Taking on Tokyo, Real Madrid C.F. are gearing up to rule the world. #ZNE","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1315897438433172/?type=3","https://www.facebook.com/adidas/posts/1315897438433172:0","2016-12-14T08:00:39+0000","photo","Timeline Photos","182162001806727_1315897438433172","16","1600","NONE","1541","False","False","ranked","20","False","",""
"‪Control The Six. The Seattle Sounders and Toronto FC compete tonight for the @MLS Cup.‬","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1311266692229580/?type=3","https://www.facebook.com/adidas/posts/1311266692229580:0","2016-12-11T00:35:37+0000","photo","Timeline Photos","182162001806727_1311266692229580","44","1730","NONE","1661","False","False","ranked","24","False","",""
"The perfect formula. Carmen Jorda is ready to create a new future for Formula 1. Welcome to the family, Carmen.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1300274846662098/?type=3","https://www.facebook.com/adidas/posts/1300274846662098:0","2016-12-06T09:00:01+0000","photo","Timeline Photos","182162001806727_1300274846662098","22","1818","NONE","1745","False","False","ranked","34","False","",""
"Create disruption in the Harden Vol. 1 Pioneer. Now available worldwide.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1302348233121426/?type=3","https://www.facebook.com/adidas/posts/1302348233121426:0","2016-12-04T18:45:15+0000","photo","Timeline Photos","182162001806727_1302348233121426","41","2182","NONE","2110","False","False","ranked","45","False","",""
"Winning on the pitch begins in the mind. #FindFocus","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1295095857179997/?type=3","https://www.facebook.com/adidas/posts/1295095857179997:0","2016-12-03T09:00:00+0000","photo","Timeline Photos","182162001806727_1295095857179997","6","1309","NONE","1278","False","False","ranked","19","False","",""
"Opening the doors to the future of sport. The adidas Flagship on 5th Avenue📍All creators welcome.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1299254026764180/?type=3","https://www.facebook.com/adidas/posts/1299254026764180:0","2016-12-02T17:28:49+0000","photo","Timeline Photos","182162001806727_1299254026764180","36","2667","NONE","2581","False","False","ranked","55","False","",""
"Get in the zone on the way to the game. #FindFocus","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1295095153846734/?type=3","https://www.facebook.com/adidas/posts/1295095153846734:0","2016-11-30T09:00:01+0000","photo","Timeline Photos","182162001806727_1295095153846734","14","1599","NONE","1548","False","False","ranked","24","False","",""
"Find mental strength for the journey ahead. #FindFocus #ZNE","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1288808291142087/?type=3","https://www.facebook.com/adidas/posts/1288808291142087:0","2016-11-27T08:00:01+0000","photo","Timeline Photos","182162001806727_1288808291142087","32","2740","NONE","2632","False","False","ranked","38","False","",""
"That moment before the match. When the noise is at its loudest. #FindFocus. The All Blacks are ready.","https://www.facebook.com/adidas/photos/a.191308754225385.42450.182162001806727/1288061994550050/?type=3","https://www.facebook.com/adidas/posts/1288061994550050:0","2016-11-26T09:00:01+0000","photo","Timeline Photos","182162001806727_1288061994550050","6","1068","NONE","1040","False","False","ranked","23","False","",""
